indicator,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
public health,2015,0.586,0.552,0.489,0.415,0.447,0.502,0.766,0.592,0.454,0.627,0.578,0.528,0.677,0.414,0.712,0.436,0.674,0.757,0.577,0.705,0.537,0.378,0.57,0.626,0.545,0.293,0.197,0.608,0.663,0.493,0.473,0.471,0.762,0.646,0.24,0.876,0.715,0.828,0.56
public lighting,2009,0.796,0.66,,0.276,0.359,0.798,0.468,0.309,0.578,0.953,0.898,0.574,0.311,0.703,0.5,0.63,0.604,0.153,0.763,0.688,0.818,0.614,0.661,0.383,0.359,0.187,0.65,0.134,0.079,0.78,0.527,0.391,0.912,0.488,,,,,0.561
public lighting,2012,0.55,0.364,,0.516,0.655,0.818,0.576,0.849,0.58,0.76,0.595,0.562,0.57,0.515,0.4,0.421,0.516,0.624,0.614,0.486,0.512,0.84,0.708,0.507,0.295,0.057,0.167,0.527,0.327,0.716,0.692,0.87,0.722,0.814,0.378,0.116,0.333,0.25,0.575
public lighting,2015,0.754,0.555,0.382,0.591,0.64,0.555,0.825,0.735,0.794,0.45,0.305,0.585,0.53,0.31,0.694,0.48,0.44,0.81,0.566,0.55,0.48,0.707,0.32,0.384,0.563,0.074,0.101,0.581,0.581,0.303,0.434,0.43,0.929,0.427,0.288,0.85,0.61,0.64,0.539
public procurement/tenders,2006,0.325,0.441,,0.294,0.471,0.514,0.345,0.498,0.447,0.245,0.4,0.396,0.35,0.495,0.478,0.473,0.357,0.322,0.268,0.33,0.49,0.434,0.552,0.474,0.375,0.25,0.333,0.324,0.478,0.505,0.667,,,,,,,,0.411
public procurement/tenders,2009,0.742,0.502,,0.267,0.391,0.426,0.289,0.256,0.472,0.953,0.605,0.568,0.416,0.473,0.352,0.593,0.342,0.169,0.583,0.676,0.818,0.43,0.531,0.464,0.447,0.254,0.554,0.032,0,0.631,0.413,0.342,0.582,0.549,,,,,0.476
public procurement/tenders,2012,0.166,0.191,,0.391,0.378,0.237,0.347,0.524,0.373,0.56,0.275,0.307,0.414,0.22,0.248,0.253,0.23,0.544,0.694,0.18,0.436,0.535,0.364,0.343,0.298,0.415,0.147,0.405,0.125,0.282,0.292,0.323,0.353,0.377,0.188,0.108,0.342,0.344,0.327
public procurement/tenders,2015,0.265,0.195,0.189,0.121,0.34,0.182,0.427,0.259,0.355,0.25,0.154,0.055,0.106,0.232,0.109,0.156,0.253,0.46,0.102,0.5,0.525,0.086,0.13,0.236,0.235,0.126,0.034,0.248,0.323,0.085,0.131,0.152,0.072,0.178,0.246,0.7,0.64,0.69,0.243
public transport,2003,0.682,0.505,,0.827,0.813,0.616,0.751,0.863,0.844,0.742,0.61,0.598,0.76,0.685,0.418,0.905,0.838,0.728,0.605,0.497,0.827,0.894,0.757,0.628,0.557,0.333,0.273,0.512,0.387,0.586,0.825,,,,,,,,0.713
public transport,2006,0.588,0.632,,0.57,0.692,0.783,0.754,0.643,0.548,0.582,0.763,0.636,0.722,0.724,0.539,0.853,0.42,0.475,0.641,0.52,0.787,0.781,0.756,0.758,0.589,0.2,0.458,0.465,0.724,0.726,0.793,,,,,,,,0.66
public transport,2009,0.848,0.564,,0.288,0.561,0.71,0.304,0.35,0.538,0.965,0.868,0.521,0.572,0.463,0.377,0.606,0.376,0.333,0.739,0.676,0.761,0.371,0.557,0.972,0.506,0.351,0.662,0.058,0.746,0.787,0.613,0.762,0.418,0.281,,,,,0.565
public transport,2012,0.633,0.617,,0.664,0.596,0.873,0.873,0.745,0.557,0.784,0.567,0.46,0.548,0.485,0.64,0.855,0.72,0.654,0.803,0.789,0.811,0.848,0.854,0.772,0.573,0.566,0.592,0.176,0.493,0.79,0.683,0.914,0.936,0.814,0.081,0.015,0.295,0.446,0.683
public transport,2015,0.776,0.518,0.316,0.866,0.467,0.714,0.915,0.645,0.634,0.1,0.378,0.11,0.319,0.546,0.3,0.456,0.691,0.787,0.412,0.654,0.452,0.788,0.832,0.805,0.789,0.25,0.239,0.457,0.528,0.658,0.55,0.245,0.99,0.308,0.273,0.73,0.66,0.593,0.559
recruitment of local staff,2006,0.491,0.447,,0.324,0.632,0.642,0.357,0.547,0.431,0.428,0.179,0.577,0.555,0.639,0.626,0.728,0.345,0.712,0.438,0.482,0.719,0.654,0.64,0.659,0.561,0.364,0.125,0.326,0.207,0.508,0.742,,,,,,,,0.531
recruitment of local staff,2009,0.818,0.507,,0.267,0.42,0.436,0.287,0.309,0.565,0.953,0.575,0.556,0.458,0.523,0.303,0.601,0.272,0.171,0.56,0.688,0.739,0.528,0.585,0.607,0.369,0.232,0.553,0.06,0.232,0.72,0.376,0.469,0.89,0.629,,,,,0.502
recruitment of local staff,2012,0.248,0.308,,0.378,0.421,0.467,0.361,0.648,0.383,0.511,0.208,0.35,0.415,0.246,0.503,0.746,0.283,0.608,0.7,0.302,0.593,0.638,0.61,0.418,0.382,0.492,0.025,0.39,0.146,0.416,0.365,0.762,0.805,0.541,0.214,0.175,0.325,0.301,0.405
recruitment of local staff,2015,0.242,0.218,0.158,0.135,0.385,0.209,0.45,0.28,0.327,0.26,0.13,0.198,0.152,0.247,0.163,0.155,0.152,0.49,0.185,0.505,0.585,0.115,0.15,0.269,0.23,0.172,0.067,0.289,0.16,0.116,0.131,0.13,0.162,0.206,0.2,0.46,0.5,0.37,0.247
representation of ethnic minorities,2015,0.491,0.622,0.339,0.48,0.555,0.644,0.559,0.515,0.369,0.333,0.353,0.561,0.486,0.343,0.525,0.319,0.25,0.746,0.554,0.624,0.701,0.393,0.42,0.606,0.554,0.209,0.278,0.475,0.257,0.384,0.321,0.303,0.721,0.297,0.24,0.566,0.624,0.554,0.47
representation of women,2015,0.681,0.705,0.24,0.529,0.607,0.718,0.9,0.453,0.348,0.428,0.283,0.713,0.621,0.452,0.558,0.499,0.223,0.642,0.597,0.697,0.647,0.465,0.538,0.475,0.621,0.22,0.39,0.62,0.337,0.486,0.463,0.683,0.565,0.314,0.306,0.618,0.614,0.594,0.533
sewage and sanitation,2003,0.397,0.463,,0.64,0.384,0.694,0.476,0.557,0.31,0.247,0.5,0.387,0.405,0.155,0.667,0.525,0.376,0.397,0.555,0.447,0.329,0.48,0.566,0.404,0.215,0.3,0.292,0.605,0.344,0.32,0.041,,,,,,,,0.451
sewage and sanitation,2006,0.62,0.61,,0.599,0.513,0.737,0.557,0.474,0.381,0.333,0.7,0.336,0.441,0.25,0.656,0.68,0.473,0.341,0.649,0.128,0.414,0.448,0.571,0.63,0.487,0.333,0.5,0.457,0.697,0.393,0.426,,,,,,,,0.524
sewage and sanitation,2009,0.812,0.598,,0.402,0.449,0.53,0.516,0.586,0.429,0.966,0.822,0.467,0.387,0.292,0.549,0.517,0.516,0.547,0.487,0.769,0.807,0.463,0.515,0.55,0.573,0.452,0.438,0.045,0.122,0.642,0.487,0.447,0.747,0.753,,,,,0.551
sewage and sanitation,2012,0.548,0.658,,0.705,0.556,0.864,0.716,0.662,0.576,0.403,0.647,0.343,0.435,0.234,0.824,0.855,0.592,0.656,0.68,0.556,0.484,0.839,0.648,0.673,0.544,0.243,0.432,0.526,0.694,0.472,0.476,0.723,0.899,0.726,0.551,0.705,0.571,0.574,0.608
sewage and sanitation,2015,0.639,0.58,0.296,0.603,0.47,0.832,0.865,0.49,0.555,0.275,0.404,0.52,0.63,0.231,0.707,0.625,0.6,0.67,0.57,0.785,0.62,0.75,0.355,0.32,0.7,0.188,0.067,0.538,0.617,0.445,0.445,0.52,0.51,0.644,0.177,0.848,0.525,0.73,0.544
sidewalks,2009,0.742,0.71,,0.217,0.324,0.612,0.457,0.324,0.59,0.959,0.933,0.663,0.299,0.701,0.541,0.581,0.651,0.176,0.861,0.688,0.932,0.628,0.632,0.492,0.398,0.16,0.765,0.119,0.027,0.824,0.607,0.631,0.944,0.481,,,,,0.563
sidewalks,2012,0.275,0.283,,0.186,0.475,0.494,0.456,0.588,0.496,0.76,0.514,0.616,0.425,0.359,0.272,0.552,0.444,0.523,0.654,0.383,0.479,0.412,0.625,0.477,0.513,0.49,0.321,0.352,0.229,0.612,0.52,0.683,0.829,0.826,0.487,0.208,0.302,0.506,0.479
sidewalks,2015,0.489,0.263,0.311,0.446,0.523,0.543,0.863,0.412,0.61,0.267,0.413,0.52,0.581,0.449,0.556,0.468,0.717,0.722,0.504,0.737,0.636,0.53,0.471,0.418,0.707,0.101,0.154,0.531,0.429,0.517,0.601,0.349,0.909,0.596,0.296,0.813,0.673,0.697,0.524
social services,2003,0.288,0.484,,0.446,0.554,0.384,0.387,0.492,0.484,0.632,0.491,0.534,0.507,0.56,0.322,0.697,0.449,0.473,0.601,0.429,0.595,0.446,0.541,0.511,0.324,0.4,0.333,0.535,0.444,0.49,0.143,,,,,,,,0.451
social services,2006,0.327,0.464,,0.313,0.356,0.405,0.28,0.383,0.33,0.448,0.593,0.354,0.482,0.454,0.495,0.536,0.372,0.229,0.392,0.314,0.542,0.414,0.488,0.429,0.4,0.455,0.696,0.444,0.5,0.529,0.652,,,,,,,,0.398
social services,2009,0.594,0.548,,0.191,0.376,0.195,0.264,0.363,0.483,0.959,0.648,0.533,0.317,0.468,0.516,0.436,0.22,0.232,0.5,0.711,0.716,0.448,0.516,0.148,0.466,0.386,0.42,0.09,0.099,0.557,0.208,0.521,0.165,0.294,,,,,0.419
social services,2012,0.341,0.281,,0.406,0.568,0.528,0.618,0.63,0.374,0.518,0.368,0.441,0.326,0.288,0.467,0.722,0.472,0.57,0.667,0.504,0.63,0.667,0.508,0.477,0.484,0.239,0.107,0.529,0.261,0.478,0.455,0.462,0.509,0.679,0.218,0.105,0.344,0.198,0.452
social services,2015,0.372,0.247,0.138,0.249,0.497,0.165,0.765,0.335,0.578,0.2,0.242,0.177,0.203,0.206,0.291,0.242,0.603,0.687,0.26,0.668,0.631,0.206,0.424,0.296,0.315,0.198,0.047,0.478,0.196,0.162,0.277,0.082,0.02,0.657,0.128,0.776,0.646,0.643,0.349
sports activities,2003,0.618,0.467,,0.855,0.762,0.761,0.799,0.78,0.649,0.694,0.404,0.611,0.595,0.686,0.556,0.851,0.622,0.664,0.663,0.665,0.757,0.838,0.782,0.578,0.561,0.2,0.333,0.385,0.167,0.564,0.282,,,,,,,,0.675
sports activities,2006,0.588,0.598,,0.552,0.595,0.791,0.532,0.511,0.659,0.586,0.707,0.48,0.645,0.637,0.577,0.787,0.358,0.643,0.689,0.665,0.719,0.772,0.652,0.578,0.522,0.636,0.458,0.262,0.552,0.79,0.779,,,,,,,,0.63
sports activities,2009,0.8,0.668,,0.399,0.694,0.663,0.178,0.432,0.811,0.983,0.978,0.704,0.407,0.539,0.975,0.711,0.735,0.479,0.913,0.728,0.875,0.514,0.521,0.962,0.485,0.405,0.655,0.176,0.222,0.756,0.635,0.524,0.846,0.566,,,,,0.63
sports activities,2012,0.459,0.524,,0.41,0.533,0.552,0.431,0.47,0.313,0.526,0.575,0.407,0.414,0.242,0.192,0.715,0.589,0.631,0.578,0.424,0.393,0.697,0.314,0.457,0.411,0.5,0.538,0.045,0.378,0.465,0.426,0.255,0.305,0.446,0.115,0.163,0.341,0.204,0.443
sports activities,2015,0.713,0.427,0.204,0.574,0.87,0.476,0.555,0.15,0.61,0.535,0.132,0.54,0.828,0.369,0.315,0.4,0.61,0.915,0.475,0.76,0.655,0.545,0.819,0.576,0.697,0.26,0.31,0.459,0.426,0.42,0.355,0.55,0.31,0.404,0.275,0.85,0.59,0.42,0.522
the mayor,2003,0.636,0.677,,0.821,0.69,0.602,0.707,0.719,0.774,0.734,0.383,0.696,0.742,0.806,0.608,0.907,0.59,0.763,0.655,0.44,0.948,0.85,0.647,0.759,0.513,0.429,0.696,0.578,0.267,0.697,0.697,,,,,,,,0.695
the mayor,2006,0.637,0.709,,0.496,0.662,0.884,0.345,0.672,0.573,0.706,0.5,0.697,0.723,0.739,0.696,0.794,0.437,0.631,0.506,0.503,0.797,0.626,0.585,0.731,0.684,0.462,0.615,0.477,0.625,0.466,0.838,,,,,,,,0.639
the mayor,2009,0.86,0.726,,0.524,0.687,0.549,0.873,0.711,0.722,0.983,0.857,0.6,0.713,0.724,0.943,0.753,0.787,0.794,0.786,0.805,0.932,0.865,0.803,0.788,0.559,0.651,0.44,0.457,0.899,0.952,0.62,0.864,1,0.831,,,,,0.752
the mayor,2012,0.699,0.63,,0.625,0.832,0.707,0.761,0.823,0.684,0.899,0.5,0.648,0.781,0.887,0.731,0.665,0.714,0.63,0.61,0.627,0.619,0.902,0.884,0.818,0.467,0.803,0.571,0.756,0.638,0.519,0.502,0.906,0.841,0.921,0.552,0.405,0.419,0.296,0.704
the mayor,2015,0.8,0.328,0.638,0.245,0.705,0.481,0.795,0.323,0.74,0.955,0.47,0.5,0.575,0.586,0.548,0.72,0.412,0.755,0.508,0.935,0.715,0.313,0.468,0.49,0.301,0.427,0.841,0.669,0.301,0.379,0.304,0.14,0.911,0.74,0.02,0.59,0.292,0.506,0.541
traffic and parking control and regulation,2003,0.284,0.371,,0.622,0.468,0.499,0.597,0.454,0.546,0.455,0.127,0.453,0.558,0.352,0.573,0.714,0.367,0.507,0.512,0.569,0.554,0.444,0.659,0.412,0.323,0.5,0.278,0.405,0.063,0.442,0.18,,,,,,,,0.463
traffic and parking control and regulation,2006,0.416,0.46,,0.411,0.424,0.585,0.385,0.384,0.431,0.428,0.367,0.371,0.45,0.445,0.518,0.662,0.288,0.484,0.48,0.317,0.55,0.697,0.548,0.485,0.417,0.5,0.52,0.333,0.281,0.545,0.615,,,,,,,,0.468
traffic and parking control and regulation,2009,0.754,0.594,,0.275,0.397,0.293,0.331,0.513,0.482,0.971,0.844,0.444,0.31,0.427,0.311,0.533,0.384,0.471,0.661,0.775,0.67,0.503,0.555,0.941,0.49,0.486,0.568,0.209,0.841,0.648,0.432,0.459,0.495,0.493,,,,,0.517
traffic and parking control and regulation,2012,0.193,0.283,,0.289,0.575,0.338,0.413,0.491,0.453,0.331,0.412,0.256,0.409,0.299,0.16,0.235,0.311,0.575,0.636,0.395,0.481,0.483,0.447,0.401,0.355,0.438,0.222,0.601,0.116,0.482,0.448,0.173,0.168,0.391,0.262,0.176,0.378,0.371,0.378
traffic and parking control and regulation,2015,0.364,0.325,0.193,0.384,0.507,0.377,0.891,0.373,0.62,0.104,0.421,0.07,0.542,0.308,0.264,0.357,0.619,0.693,0.343,0.784,0.433,0.411,0.388,0.317,0.487,0.156,0.114,0.506,0.372,0.368,0.362,0.18,0.465,0.353,0.199,0.758,0.578,0.532,0.412
urban and rural planning,2003,0.408,0.414,,0.474,0.653,0.651,0.725,0.632,0.595,0.601,0.182,0.587,0.525,0.571,0.383,0.692,0.474,0.557,0.611,0.562,0.5,0.47,0.687,0.474,0.356,0.333,0.278,0.419,0.077,0.619,0.221,,,,,,,,0.537
urban and rural planning,2006,0.405,0.462,,0.541,0.492,0.656,0.39,0.539,0.606,0.521,0.48,0.517,0.557,0.59,0.607,0.665,0.34,0.39,0.552,0.423,0.633,0.526,0.556,0.556,0.515,0.333,0.35,0.385,0.393,0.675,0.651,,,,,,,,0.519
urban and rural planning,2009,0.739,0.562,,0.255,0.588,0.422,0.235,0.418,0.574,0.965,0.849,0.521,0.572,0.431,0.91,0.584,0.588,0.36,0.672,0.723,0.693,0.42,0.488,0.798,0.485,0.342,0.5,0.119,0.141,0.765,0.527,0.485,0.604,0.484,,,,,0.539
urban and rural planning,2012,0.245,0.353,,0.501,0.533,0.443,0.487,0.667,0.433,0.66,0.167,0.334,0.414,0.195,0.354,0.522,0.432,0.545,0.714,0.499,0.567,0.736,0.671,0.51,0.38,0.467,0.01,0.479,0.1,0.427,0.553,0.397,0.587,0.714,0.216,0.064,0.229,0.177,0.466
urban and rural planning,2015,0.516,0.251,0.2,0.319,0.527,0.395,0.603,0.334,0.612,0.245,0.286,0.294,0.268,0.299,0.215,0.313,0.348,0.665,0.344,0.724,0.513,0.331,0.259,0.435,0.251,0.139,0.085,0.456,0.239,0.233,0.225,0.115,0.067,0.667,0.206,0.727,0.6,0.549,0.37
waste collection services,2003,0.521,0.612,,0.709,0.329,0.526,0.573,0.441,0.45,0.378,0.379,0.329,0.493,0.468,0.371,0.574,0.58,0.484,0.571,0.582,0.608,0.407,0.582,0.349,0.244,0.3,0.269,0.733,0.226,0.481,0.149,,,,,,,,0.491
waste collection services,2006,0.506,0.551,,0.704,0.571,0.648,0.511,0.362,0.41,0.337,0.542,0.343,0.531,0.42,0.687,0.591,0.542,0.541,0.615,0.08,0.478,0.559,0.444,0.407,0.487,0.182,0.52,0.356,0.594,0.441,0.481,,,,,,,,0.51
waste collection services,2009,0.661,0.586,,0.47,0.551,0.611,0.476,0.453,0.381,0.977,0.703,0.438,0.506,0.697,0.434,0.477,0.423,0.603,0.445,0.728,0.761,0.654,0.576,0.67,0.583,0.451,0.614,0.157,0.232,0.614,0.347,0.651,0.824,0.547,,,,,0.56
waste collection services,2012,0.513,0.458,,0.459,0.503,0.641,0.403,0.561,0.536,0.358,0.599,0.247,0.265,0.35,0.662,0.796,0.631,0.605,0.571,0.471,0.475,0.617,0.522,0.693,0.376,0.688,0.356,0.547,0.793,0.324,0.426,0.267,0.585,0.432,0.499,0.752,0.501,0.528,0.509
waste collection services,2015,0.543,0.569,0.299,0.712,0.607,0.741,0.825,0.562,0.689,0.213,0.368,0.503,0.523,0.432,0.486,0.54,0.624,0.667,0.556,0.847,0.494,0.761,0.65,0.493,0.59,0.178,0.135,0.618,0.568,0.442,0.7,0.59,0.631,0.569,0.288,0.787,0.48,0.635,0.559
water supply,2003,0.632,0.432,,0.673,0.646,0.79,0.619,0.766,0.292,0.37,0.339,0.479,0.606,0.601,0.767,0.512,0.475,0.5,0.552,0.585,0.507,0.422,0.765,0.62,0.513,0.667,0.4,0.711,0.182,0.494,0.142,,,,,,,,0.573
water supply,2006,0.7,0.546,,0.644,0.734,0.812,0.756,0.577,0.197,0.488,0.721,0.359,0.77,0.692,0.811,0.545,0.643,0.409,0.713,0.253,0.563,0.46,0.791,0.402,0.667,0.385,0.692,0.574,0.441,0.523,0.477,,,,,,,,0.608
water supply,2009,0.83,0.708,,0.431,0.63,0.401,0.505,0.705,0.364,0.971,0.556,0.45,0.577,0.831,0.426,0.523,0.339,0.534,0.697,0.769,0.716,0.597,0.659,0.138,0.66,0.556,0.742,0.102,0.561,0.63,0.306,0.919,0.791,0.64,,,,,0.594
water supply,2012,0.654,0.66,,0.627,0.889,0.48,0.799,0.764,0.341,0.485,0.442,0.189,0.759,0.806,0.528,0.521,0.619,0.544,0.644,0.465,0.589,0.797,0.477,0.441,0.577,0.203,0.581,0.67,0.265,0.625,0.517,0.973,0.093,0.593,0.73,0.8,0.535,0.604,0.589
water supply,2015,0.757,0.79,0.303,0.714,0.73,0.695,0.885,0.695,0.565,0.295,0.4,0.41,0.55,0.55,0.783,0.525,0.57,0.785,0.51,0.81,0.66,0.814,0.72,0.225,0.89,0.396,0.144,0.638,0.628,0.535,0.515,0.74,0.24,0.569,0.227,0.89,0.54,0.8,0.602
youth activities,2012,0.425,0.439,,0.467,0.452,0.558,0.422,0.433,0.302,0.462,0.519,0.37,0.416,0.253,0.193,0.614,0.619,0.635,0.658,0.363,0.349,0.649,0.28,0.401,0.361,0.356,0.333,0.033,0.267,0.431,0.439,0.254,0.338,0.388,0.114,0.091,0.439,0.226,0.417
youth activities,2015,0.637,0.402,0.237,0.436,0.864,0.366,0.525,0.18,0.595,0.49,0.075,0.417,0.596,0.338,0.217,0.375,0.425,0.87,0.33,0.739,0.598,0.5,0.828,0.418,0.707,0.177,0.08,0.462,0.426,0.327,0.345,0.37,0.162,0.692,0.245,0.83,0.64,0.495,0.466
