indicators,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
emergency services,2015,0.867,0.876,0.589,0.693,0.697,0.772,0.957,0.841,0.809,0.784,0.704,0.586,0.848,0.433,0.823,0.754,0.735,0.932,0.751,0.889,0.685,0.663,0.974,0.615,0.725,0.307,0.197,0.708,0.819,0.696,0.669,0.871,0.984,0.904,0.202,0.873,0.562,0.824,0.735
urban and rural planning,2003,0.408,0.414,,0.474,0.653,0.651,0.725,0.632,0.595,0.601,0.182,0.587,0.525,0.571,0.383,0.692,0.474,0.557,0.611,0.562,0.500,0.470,0.687,0.474,0.356,0.333,0.278,0.419,0.077,0.619,0.221,,,,,,,,0.537
urban and rural planning,2006,0.405,0.462,,0.541,0.492,0.656,0.390,0.539,0.606,0.521,0.480,0.517,0.557,0.590,0.607,0.665,0.340,0.390,0.552,0.423,0.633,0.526,0.556,0.556,0.515,0.333,0.350,0.385,0.393,0.675,0.651,,,,,,,,0.519
urban and rural planning,2009,0.739,0.562,,0.255,0.588,0.422,0.235,0.418,0.574,0.965,0.849,0.521,0.572,0.431,0.910,0.584,0.588,0.360,0.672,0.723,0.693,0.420,0.488,0.798,0.485,0.342,0.500,0.119,0.141,0.765,0.527,0.485,0.604,0.484,,,,,0.539
urban and rural planning,2012,0.245,0.353,,0.501,0.533,0.443,0.487,0.667,0.433,0.660,0.167,0.334,0.414,0.195,0.354,0.522,0.432,0.545,0.714,0.499,0.567,0.736,0.671,0.510,0.380,0.467,0.010,0.479,0.100,0.427,0.553,0.397,0.587,0.714,0.216,0.064,0.229,0.177,0.466
urban and rural planning,2015,0.516,0.251,0.200,0.319,0.527,0.395,0.603,0.334,0.612,0.245,0.286,0.294,0.268,0.299,0.215,0.313,0.348,0.665,0.344,0.724,0.513,0.331,0.259,0.435,0.251,0.139,0.085,0.456,0.239,0.233,0.225,0.115,0.067,0.667,0.206,0.727,0.600,0.549,0.370
social services,2003,0.288,0.484,,0.446,0.554,0.384,0.387,0.492,0.484,0.632,0.491,0.534,0.507,0.560,0.322,0.697,0.449,0.473,0.601,0.429,0.595,0.446,0.541,0.511,0.324,0.400,0.333,0.535,0.444,0.490,0.143,,,,,,,,0.451
social services,2006,0.327,0.464,,0.313,0.356,0.405,0.280,0.383,0.330,0.448,0.593,0.354,0.482,0.454,0.495,0.536,0.372,0.229,0.392,0.314,0.542,0.414,0.488,0.429,0.400,0.455,0.696,0.444,0.500,0.529,0.652,,,,,,,,0.398
social services,2009,0.594,0.548,,0.191,0.376,0.195,0.264,0.363,0.483,0.959,0.648,0.533,0.317,0.468,0.516,0.436,0.220,0.232,0.500,0.711,0.716,0.448,0.516,0.148,0.466,0.386,0.420,0.090,0.099,0.557,0.208,0.521,0.165,0.294,,,,,0.419
social services,2012,0.341,0.281,,0.406,0.568,0.528,0.618,0.630,0.374,0.518,0.368,0.441,0.326,0.288,0.467,0.722,0.472,0.570,0.667,0.504,0.630,0.667,0.508,0.477,0.484,0.239,0.107,0.529,0.261,0.478,0.455,0.462,0.509,0.679,0.218,0.105,0.344,0.198,0.452
social services,2015,0.372,0.247,0.138,0.249,0.497,0.165,0.765,0.335,0.578,0.200,0.242,0.177,0.203,0.206,0.291,0.242,0.603,0.687,0.260,0.668,0.631,0.206,0.424,0.296,0.315,0.198,0.047,0.478,0.196,0.162,0.277,0.082,0.020,0.657,0.128,0.776,0.646,0.643,0.349
procedures for tax payment,2003,0.282,0.355,,0.480,0.594,0.491,0.525,0.542,0.480,0.554,0.270,0.512,0.529,0.597,0.294,0.673,0.427,0.462,0.594,0.462,0.534,0.465,0.439,0.405,0.231,0.333,0.417,0.375,0.222,0.355,0.355,,,,,,,,0.461
procedures for tax payment,2006,0.445,0.565,,0.308,0.519,0.651,0.567,0.437,0.391,0.396,0.632,0.435,0.559,0.515,0.565,0.665,0.466,0.637,0.467,0.388,0.627,0.652,0.538,0.535,0.435,0.700,0.667,0.405,0.615,0.632,0.706,,,,,,,,0.521
procedures for tax payment,2009,0.818,0.592,,0.258,0.529,0.389,0.282,0.484,0.556,0.983,0.765,0.456,0.542,0.474,0.451,0.572,0.255,0.356,0.573,0.688,0.739,0.417,0.580,0.909,0.520,0.431,0.449,0.154,0.692,0.729,0.544,0.509,0.231,0.667,,,,,0.531
procedures for tax payment,2012,0.332,0.330,,0.530,0.435,0.694,0.665,0.735,0.314,0.535,0.525,0.528,0.505,0.285,0.681,0.622,0.312,0.602,0.677,0.508,0.667,0.701,0.833,0.402,0.540,0.267,0.240,0.675,0.421,0.472,0.565,0.655,0.825,0.891,0.301,0.244,0.350,0.314,0.517
procedures for tax payment,2015,0.811,0.595,0.282,0.690,0.580,0.766,0.885,0.563,0.580,0.505,0.332,0.855,0.770,0.465,0.864,0.530,0.815,0.785,0.740,0.780,0.605,0.492,0.590,0.470,0.545,0.415,0.333,0.747,0.394,0.213,0.558,0.700,0.890,0.452,0.322,0.640,0.670,0.610,0.611
public transport,2003,0.682,0.505,,0.827,0.813,0.616,0.751,0.863,0.844,0.742,0.610,0.598,0.760,0.685,0.418,0.905,0.838,0.728,0.605,0.497,0.827,0.894,0.757,0.628,0.557,0.333,0.273,0.512,0.387,0.586,0.825,,,,,,,,0.713
public transport,2006,0.588,0.632,,0.570,0.692,0.783,0.754,0.643,0.548,0.582,0.763,0.636,0.722,0.724,0.539,0.853,0.420,0.475,0.641,0.520,0.787,0.781,0.756,0.758,0.589,0.200,0.458,0.465,0.724,0.726,0.793,,,,,,,,0.660
public transport,2009,0.848,0.564,,0.288,0.561,0.710,0.304,0.350,0.538,0.965,0.868,0.521,0.572,0.463,0.377,0.606,0.376,0.333,0.739,0.676,0.761,0.371,0.557,0.972,0.506,0.351,0.662,0.058,0.746,0.787,0.613,0.762,0.418,0.281,,,,,0.565
public transport,2012,0.633,0.617,,0.664,0.596,0.873,0.873,0.745,0.557,0.784,0.567,0.460,0.548,0.485,0.640,0.855,0.720,0.654,0.803,0.789,0.811,0.848,0.854,0.772,0.573,0.566,0.592,0.176,0.493,0.790,0.683,0.914,0.936,0.814,0.081,0.015,0.295,0.446,0.683
public transport,2015,0.776,0.518,0.316,0.866,0.467,0.714,0.915,0.645,0.634,0.100,0.378,0.110,0.319,0.546,0.300,0.456,0.691,0.787,0.412,0.654,0.452,0.788,0.832,0.805,0.789,0.250,0.239,0.457,0.528,0.658,0.550,0.245,0.990,0.308,0.273,0.730,0.660,0.593,0.559
protection of cultural heritage,2006,0.467,0.511,,0.513,0.576,0.793,0.613,0.606,0.531,0.507,0.558,0.643,0.500,0.597,0.632,0.776,0.412,0.508,0.492,0.521,0.692,0.799,0.717,0.607,0.554,0.250,0.450,0.425,0.400,0.724,0.773,,,,,,,,0.597
protection of cultural heritage,2009,0.784,0.497,,0.319,0.424,0.457,0.270,0.398,0.589,0.959,0.693,0.485,0.446,0.437,0.320,0.588,0.484,0.304,0.754,0.688,0.784,0.414,0.491,0.935,0.479,0.400,0.486,0.013,0.125,0.728,0.557,0.533,0.462,0.542,,,,,0.517
protection of cultural heritage,2012,0.397,0.357,,0.517,0.541,0.645,0.600,0.584,0.531,0.554,0.395,0.390,0.439,0.398,0.618,0.680,0.367,0.547,0.833,0.407,0.621,0.761,0.781,0.410,0.470,0.484,0.225,0.357,0.304,0.353,0.374,0.722,0.870,0.784,0.200,0.195,0.463,0.375,0.489
protection of cultural heritage,2015,0.525,0.305,0.347,0.442,0.643,0.368,0.555,0.273,0.508,0.317,0.368,0.210,0.385,0.435,0.410,0.268,0.585,0.750,0.452,0.668,0.665,0.352,0.500,0.342,0.457,0.135,0.193,0.444,0.391,0.301,0.312,0.420,0.515,0.683,0.294,0.800,0.710,0.840,0.445
public procurement/tenders,2006,0.325,0.441,,0.294,0.471,0.514,0.345,0.498,0.447,0.245,0.400,0.396,0.350,0.495,0.478,0.473,0.357,0.322,0.268,0.330,0.490,0.434,0.552,0.474,0.375,0.250,0.333,0.324,0.478,0.505,0.667,,,,,,,,0.411
public procurement/tenders,2009,0.742,0.502,,0.267,0.391,0.426,0.289,0.256,0.472,0.953,0.605,0.568,0.416,0.473,0.352,0.593,0.342,0.169,0.583,0.676,0.818,0.430,0.531,0.464,0.447,0.254,0.554,0.032,0.000,0.631,0.413,0.342,0.582,0.549,,,,,0.476
public procurement/tenders,2012,0.166,0.191,,0.391,0.378,0.237,0.347,0.524,0.373,0.560,0.275,0.307,0.414,0.220,0.248,0.253,0.230,0.544,0.694,0.180,0.436,0.535,0.364,0.343,0.298,0.415,0.147,0.405,0.125,0.282,0.292,0.323,0.353,0.377,0.188,0.108,0.342,0.344,0.327
public procurement/tenders,2015,0.265,0.195,0.189,0.121,0.340,0.182,0.427,0.259,0.355,0.250,0.154,0.055,0.106,0.232,0.109,0.156,0.253,0.460,0.102,0.500,0.525,0.086,0.130,0.236,0.235,0.126,0.034,0.248,0.323,0.085,0.131,0.152,0.072,0.178,0.246,0.700,0.640,0.690,0.243
recruitment of local staff,2006,0.491,0.447,,0.324,0.632,0.642,0.357,0.547,0.431,0.428,0.179,0.577,0.555,0.639,0.626,0.728,0.345,0.712,0.438,0.482,0.719,0.654,0.640,0.659,0.561,0.364,0.125,0.326,0.207,0.508,0.742,,,,,,,,0.531
recruitment of local staff,2009,0.818,0.507,,0.267,0.420,0.436,0.287,0.309,0.565,0.953,0.575,0.556,0.458,0.523,0.303,0.601,0.272,0.171,0.560,0.688,0.739,0.528,0.585,0.607,0.369,0.232,0.553,0.060,0.232,0.720,0.376,0.469,0.890,0.629,,,,,0.502
recruitment of local staff,2012,0.248,0.308,,0.378,0.421,0.467,0.361,0.648,0.383,0.511,0.208,0.350,0.415,0.246,0.503,0.746,0.283,0.608,0.700,0.302,0.593,0.638,0.610,0.418,0.382,0.492,0.025,0.390,0.146,0.416,0.365,0.762,0.805,0.541,0.214,0.175,0.325,0.301,0.405
recruitment of local staff,2015,0.242,0.218,0.158,0.135,0.385,0.209,0.450,0.280,0.327,0.260,0.130,0.198,0.152,0.247,0.163,0.155,0.152,0.490,0.185,0.505,0.585,0.115,0.150,0.269,0.230,0.172,0.067,0.289,0.160,0.116,0.131,0.130,0.162,0.206,0.200,0.460,0.500,0.370,0.247
management of municipal funds,2009,0.806,0.523,,0.269,0.344,0.446,0.334,0.301,0.559,0.965,0.807,0.533,0.331,0.519,0.221,0.611,0.466,0.069,0.534,0.682,0.761,0.548,0.626,0.561,0.369,0.214,0.593,0.059,0.188,0.669,0.367,0.500,0.901,0.632,,,,,0.503
management of municipal funds,2012,0.246,0.258,,0.257,0.396,0.347,0.487,0.758,0.388,0.608,0.164,0.426,0.434,0.242,0.377,0.546,0.301,0.574,0.549,0.443,0.584,0.628,0.659,0.410,0.408,0.390,0.056,0.494,0.108,0.340,0.364,0.639,0.585,0.817,0.217,0.128,0.220,0.243,0.401
management of municipal funds,2015,0.401,0.186,0.158,0.160,0.360,0.291,0.662,0.235,0.447,0.400,0.202,0.315,0.270,0.261,0.359,0.230,0.285,0.535,0.285,0.580,0.585,0.158,0.206,0.308,0.343,0.188,0.012,0.321,0.172,0.307,0.171,0.020,0.140,0.519,0.201,0.600,0.560,0.530,0.319
public lighting,2009,0.796,0.660,,0.276,0.359,0.798,0.468,0.309,0.578,0.953,0.898,0.574,0.311,0.703,0.500,0.630,0.604,0.153,0.763,0.688,0.818,0.614,0.661,0.383,0.359,0.187,0.650,0.134,0.079,0.780,0.527,0.391,0.912,0.488,,,,,0.561
public lighting,2012,0.550,0.364,,0.516,0.655,0.818,0.576,0.849,0.580,0.760,0.595,0.562,0.570,0.515,0.400,0.421,0.516,0.624,0.614,0.486,0.512,0.840,0.708,0.507,0.295,0.057,0.167,0.527,0.327,0.716,0.692,0.870,0.722,0.814,0.378,0.116,0.333,0.250,0.575
public lighting,2015,0.754,0.555,0.382,0.591,0.640,0.555,0.825,0.735,0.794,0.450,0.305,0.585,0.530,0.310,0.694,0.480,0.440,0.810,0.566,0.550,0.480,0.707,0.320,0.384,0.563,0.074,0.101,0.581,0.581,0.303,0.434,0.430,0.929,0.427,0.288,0.850,0.610,0.640,0.539
sidewalks,2009,0.742,0.710,,0.217,0.324,0.612,0.457,0.324,0.590,0.959,0.933,0.663,0.299,0.701,0.541,0.581,0.651,0.176,0.861,0.688,0.932,0.628,0.632,0.492,0.398,0.160,0.765,0.119,0.027,0.824,0.607,0.631,0.944,0.481,,,,,0.563
sidewalks,2012,0.275,0.283,,0.186,0.475,0.494,0.456,0.588,0.496,0.760,0.514,0.616,0.425,0.359,0.272,0.552,0.444,0.523,0.654,0.383,0.479,0.412,0.625,0.477,0.513,0.490,0.321,0.352,0.229,0.612,0.520,0.683,0.829,0.826,0.487,0.208,0.302,0.506,0.479
sidewalks,2015,0.489,0.263,0.311,0.446,0.523,0.543,0.863,0.412,0.610,0.267,0.413,0.520,0.581,0.449,0.556,0.468,0.717,0.722,0.504,0.737,0.636,0.530,0.471,0.418,0.707,0.101,0.154,0.531,0.429,0.517,0.601,0.349,0.909,0.596,0.296,0.813,0.673,0.697,0.524
municipal parks and squares,2012,0.580,0.435,,0.450,0.711,0.769,0.661,0.925,0.661,0.844,0.550,0.589,0.522,0.424,0.219,0.481,0.422,0.637,0.744,0.608,0.531,0.835,0.647,0.354,0.312,0.248,0.037,0.354,0.288,0.834,0.822,0.225,0.911,0.624,0.443,0.057,0.321,0.219,0.578
municipal parks and squares,2015,0.693,0.571,0.605,0.649,0.880,0.607,0.908,0.860,0.783,0.670,0.705,0.759,0.483,0.340,0.390,0.541,0.667,0.844,0.511,0.865,0.749,0.727,0.421,0.389,0.666,0.167,0.270,0.528,0.619,0.495,0.490,0.945,0.899,0.231,0.278,0.855,0.628,0.558,0.619
cemetery maintenace,2012,0.540,0.583,,0.751,0.702,0.479,0.484,0.471,0.380,0.516,0.654,0.634,0.862,0.573,0.483,0.589,0.518,0.573,0.753,0.636,0.583,0.550,0.625,0.520,0.661,0.493,0.475,0.258,0.587,0.564,0.597,0.441,0.731,0.711,0.477,0.439,0.643,0.366,0.569
cemetery maintenace,2015,0.766,0.803,0.336,0.583,0.390,0.266,0.685,0.310,0.583,0.310,0.432,0.575,0.525,0.377,0.481,0.437,0.387,0.343,0.548,0.635,0.650,0.470,0.450,0.840,0.555,0.333,0.333,0.669,0.548,0.185,0.480,0.710,0.990,0.702,0.325,0.820,0.570,0.640,0.515
the Mayor,2003,0.636,0.677,,0.821,0.690,0.602,0.707,0.719,0.774,0.734,0.383,0.696,0.742,0.806,0.608,0.907,0.590,0.763,0.655,0.440,0.948,0.850,0.647,0.759,0.513,0.429,0.696,0.578,0.267,0.697,0.697,,,,,,,,0.695
the Mayor,2006,0.637,0.709,,0.496,0.662,0.884,0.345,0.672,0.573,0.706,0.500,0.697,0.723,0.739,0.696,0.794,0.437,0.631,0.506,0.503,0.797,0.626,0.585,0.731,0.684,0.462,0.615,0.477,0.625,0.466,0.838,,,,,,,,0.639
the Mayor,2009,0.860,0.726,,0.524,0.687,0.549,0.873,0.711,0.722,0.983,0.857,0.600,0.713,0.724,0.943,0.753,0.787,0.794,0.786,0.805,0.932,0.865,0.803,0.788,0.559,0.651,0.440,0.457,0.899,0.952,0.620,0.864,1.000,0.831,,,,,0.752
the Mayor,2012,0.699,0.630,,0.625,0.832,0.707,0.761,0.823,0.684,0.899,0.500,0.648,0.781,0.887,0.731,0.665,0.714,0.630,0.610,0.627,0.619,0.902,0.884,0.818,0.467,0.803,0.571,0.756,0.638,0.519,0.502,0.906,0.841,0.921,0.552,0.405,0.419,0.296,0.704
the Mayor,2015,0.800,0.328,0.638,0.245,0.705,0.481,0.795,0.323,0.740,0.955,0.470,0.500,0.575,0.586,0.548,0.720,0.412,0.755,0.508,0.935,0.715,0.313,0.468,0.490,0.301,0.427,0.841,0.669,0.301,0.379,0.304,0.140,0.911,0.740,0.020,0.590,0.292,0.506,0.541
Municipal Assembly,2003,0.658,0.696,,0.786,0.714,0.609,0.731,0.761,0.771,0.652,0.400,0.733,0.699,0.828,0.558,0.877,0.669,0.788,0.594,0.415,0.933,0.835,0.674,0.792,0.539,0.500,0.636,0.455,0.310,0.750,0.651,,,,,,,,0.698
Municipal Assembly,2006,0.551,0.726,,0.442,0.626,0.877,0.451,0.667,0.551,0.667,0.466,0.701,0.693,0.738,0.694,0.820,0.417,0.653,0.435,0.467,0.815,0.597,0.588,0.680,0.649,0.500,0.640,0.452,0.594,0.514,0.847,,,,,,,,0.623
Municipal Assembly,2009,0.839,0.604,,0.353,0.627,0.391,0.707,0.661,0.726,0.989,0.831,0.530,0.698,0.717,0.190,0.727,0.148,0.754,0.790,0.806,0.068,0.835,0.754,0.760,0.559,0.627,0.429,0.356,0.679,0.922,0.633,0.875,0.442,0.794,,,,,0.645
Municipal Assembly,2012,0.575,0.516,,0.498,0.801,0.637,0.724,0.738,0.517,0.706,0.481,0.638,0.740,0.694,0.679,0.776,0.729,0.662,0.579,0.691,0.649,0.872,0.859,0.729,0.425,0.656,0.500,0.710,0.558,0.562,0.636,0.949,0.824,0.891,0.473,0.275,0.357,0.299,0.641
Municipal Assembly,2015,0.625,0.301,0.388,0.233,0.583,0.410,0.625,0.306,0.683,0.925,0.335,0.479,0.557,0.418,0.476,0.543,0.558,0.769,0.414,0.911,0.644,0.304,0.511,0.422,0.410,0.375,0.671,0.533,0.137,0.309,0.419,0.162,0.921,0.702,0.005,0.688,0.396,0.512,0.492
Municipal Administration,2003,0.622,0.749,,0.716,0.684,0.624,0.764,0.760,0.774,0.641,0.431,0.735,0.753,0.833,0.679,0.868,0.600,0.756,0.638,0.423,0.907,0.746,0.696,0.816,0.595,0.545,0.632,0.500,0.357,0.701,0.646,,,,,,,,0.691
Municipal Administration,2006,0.573,0.707,,0.453,0.559,0.783,0.426,0.640,0.451,0.692,0.491,0.659,0.738,0.752,0.763,0.829,0.414,0.722,0.459,0.484,0.833,0.679,0.624,0.713,0.689,0.455,0.667,0.463,0.600,0.552,0.808,,,,,,,,0.620
Municipal Administration,2009,0.835,0.550,,0.377,0.608,0.279,0.602,0.611,0.680,0.983,0.865,0.535,0.510,0.607,0.667,0.662,0.184,0.810,0.770,0.807,0.200,0.796,0.743,0.760,0.578,0.614,0.417,0.395,0.545,0.922,0.620,0.750,0.500,0.790,,,,,0.632
Municipal Administration,2012,0.622,0.549,,0.505,0.778,0.695,0.698,0.770,0.478,0.682,0.507,0.653,0.692,0.640,0.776,0.822,0.696,0.630,0.639,0.807,0.745,0.842,0.920,0.766,0.577,0.700,0.619,0.785,0.581,0.623,0.637,0.948,0.847,0.869,0.627,0.381,0.372,0.279,0.670
Municipal Administration,2015,0.844,0.490,0.605,0.302,0.709,0.529,0.829,0.363,0.674,0.960,0.545,0.608,0.815,0.380,0.906,0.834,0.789,0.770,0.684,0.869,0.696,0.326,0.582,0.520,0.450,0.333,0.693,0.748,0.219,0.536,0.631,0.889,0.966,0.712,0.015,0.643,0.560,0.623,0.624
representation of ethnic minorities in the municipality,2015,0.491,0.622,0.339,0.480,0.555,0.644,0.559,0.515,0.369,0.333,0.353,0.561,0.486,0.343,0.525,0.319,0.250,0.746,0.554,0.624,0.701,0.393,0.420,0.606,0.554,0.209,0.278,0.475,0.257,0.384,0.321,0.303,0.721,0.297,0.240,0.566,0.624,0.554,0.470
representation of women in the municipality,2015,0.681,0.705,0.240,0.529,0.607,0.718,0.900,0.453,0.348,0.428,0.283,0.713,0.621,0.452,0.558,0.499,0.223,0.642,0.597,0.697,0.647,0.465,0.538,0.475,0.621,0.220,0.390,0.620,0.337,0.486,0.463,0.683,0.565,0.314,0.306,0.618,0.614,0.594,0.533
